ID,MEDIAN_COVERAGE,MAD_COVERAGE
CTF001_BMPCs_170,21,4
CTF001_CMMCs_41,10,2
CTF002_BMPCs_124,14,3
CTF002_CMMCs_662,22,3
CTF002_WBCs_540,19,3
CTF003_BMPCs_300,12,3
CTF003_CMMCs_100,9,2
CTF003_WBCs_60,6,2
CTF004_CMMCs_60,8,2
CTF004_WBCs_85,13,3
CTF005_CMMCs_57,4,1
CTF005_WBCs_85,9,2
CTF010_CMMCs_402,18,5
CTF010_WBCs_550,25,4
CTF011_CMMCs_297,14,3
CTF011_WBCs_410,21,4
CTF012_BMPCs,62,8
CTF012_CMMCs_210,28,5
CTF012_WBCs,58,11
CTF013_BMPCs_30k,28,9
CTF013_CMMCs_398,20,3
CTF013_CMMCs_T0_890,14,3
CTF013_WBCs_233,14,3
CTF014_CMMCs_465,24,4
CTF014_WBCs_69,6,2
CTF015_BMPCs,67,9
CTF015_CMMCs_4135,46,11
CTF015_WBCs,27,4
CTF016_BMPCs,32,8
CTF016_CMMCs_1000,19,4
CTF016_WBCs,39,5
CTF017_BMPCs,59,16
CTF017_CMMCs_886,10,3
CTF017_CMMCs_T0_1k,18,5
CTF017_WBCs_2701,24,5
CTF018_BMPCs_11k,36,11
CTF018_CMMCs_2911,29,7
CTF018_WBCs_6282,39,9
CTF019_BMPCs_947,27,5
CTF019_CMMCs_1169,21,4
CTF019_CMMCs_T0_2700,42,10
CTF019_CMMCs_T2_1800,27,5
CTF019_WBCs_614,23,4
CTF021_BMPCs_12423,37,9
CTF021_CMMCs_182,7,2
CTF021_WBCs_981,29,5
CTF022_CMMCs_206,9,3
CTF022_WBCs_448,30,4
CTF023_BMPCs_24344,35,8
CTF023_CMMCs_343,13,4
CTF023_WBCs_1622,33,6
CTF024_CMMCs_217,10,3
CTF024_CMMCs_T1_391,18,4
CTF024_WBCs_2643,45,8
CTF025_BMPCs_36k,37,8
CTF025_CMMCs_198,16,4
CTF025_WBCs_937,26,4
CTF026_CMMCs_81,8,3
CTF026_WBCs_3k,40,7
CTF027_CMMCs_4k,19,5
CTF027_CMMCs_T0_10k,20,5
CTF027_WBCs_465,26,4
CTF028_CMMCs_58,5,2
CTF028_WBCs_244,14,3
CTF029_CMMCs_162,11,3
CTF029_WBCs_1462,20,5
CTF030_CMMCs_503,32,6
CTF030_WBCs_4k,13,3
CTF031_CMMCs_41500,15,4
CTF031_CMMCs_T1_50k,27,9
CTF031_WBCs_464,28,4
CTF032_CMMCs_9k,17,5
CTF032_CMMCs_T1_2200,24,6
CTF032_WBCs,49,6
CTF033_CMMCs_755,32,7
CTF033_WBCs_275,19,3
CTF034_BMPCs_16800,19,5
CTF034_CMMCs_654,45,9
CTF034_WBCs_5800,20,4
CTF035_CMMCs_184,14,4
CTF035_WBCs_5619,52,9
CTF036_BMPCs_49k,44,9
CTF036_CMMCs_286,17,4
CTF036_WBCs_102,8,2
CTF038_CMMCs_523,36,8
CTF038_WBCs_325,45,6
CTF039_CMMCs_232,6,2
CTF039_WBCs_1059,36,5
CTF040_CMMCs_171,3,1
CTF040_WBCs_227,42,6
CTF041_CMMCs_386,16,3
CTF041_WBCs_1582,35,5
CTF042_CMMCs_230,13,3
CTF042_WBCs_2039,21,5
CTF043_CMMCs_218,13,3
CTF043_WBCs_1410,14,3
CTF044_CMMCs_872,18,4
CTF044_WBCs_6074,27,6
CTF045_CMMCs_1371,36,7
CTF045_WBCs_409,27,4
CTF046_BMPCs_2051,22,5
CTF046_CMMCs_523,15,3
CTF046_WBCs_3003,36,7
CTF047_BMPCs,72,8
CTF047_CMMCs_75k,45,12
CTF047_WBCs,49,6
CTF048_BMPCs_9906,17,6
CTF048_CMMCs_266,15,4
CTF048_WBCs,45,5
CTF049_CMMCs_1513,18,5
CTF049_WBCs,41,5
CTF050_BMPCs_4343,15,4
CTF050_CMMCs_227,21,4
CTF050_WBCs,33,5
CTF051_CMMCs_161,9,2
CTF051_WBCs,36,5
CTF052_BMPCs,45,15
CTF052_CMMCs_168,14,3
CTF052_WBCs,17,3
CTF053_BMPCs,55,17
CTF053_CMMCs_124,12,3
CTF053_WBCs,24,4
CTF054_BMPCs,27,6
CTF054_CMMCs_70,11,2
CTF054_WBCs,60,8
CTF055_BMPCs,17,6
CTF055_CMMCs_871,47,9
CTF055_WBCs,54,6
CTF056_CMMCs_89,9,2
CTF056_WBCs,25,4
CTF057_CMMCs_109,12,3
CTF057_WBCs,17,3
CTF058_BMPCs,48,7
CTF058_CMMCs_3061,33,8
CTF058_WBCs,41,5
P190_WBCs_213,11,2